gvkey,cik,datadate,fyear,Company name,Net profit margin,Gross profit margin,Operating profit margin,2020 ROA(return on assets),2020 Total assets turnover,working capital,Current ratio,Quick ratio,Cash ratio,Financial leverage,Debt to total assets ratio
1004,1750,05/31/2020,2019,AAR CORP,0.002105969,0.172593692,0.071842244,null,null,1055.6,3.75541634,1.947272253,1.349256069,2.30334589,0.565848966
1004,1750,05/31/2021,2020,AAR CORP,0.021678576,0.173670825,0.061644665,0.023251283,1.762433298,600.2,2.782066508,1.027315914,0.31888361,1.580151888,0.367149445
1050,3197,12/31/2019,2019,CECO ENVIRONMENTAL CORP,0.051794693,0.339922602,0.088428609,null,null,64.31,1.558304685,1.077499392,0.483392367,2.117103675,0.527656575
1050,3197,12/31/2020,2020,CECO ENVIRONMENTAL CORP,0.025983273,0.339988165,0.09655993,0.019581984,1.722271575,74.129,1.677868613,1.103222503,0.526701781,2.069072033,0.514418789
1078,1800,12/31/2019,2019,ABBOTT LABORATORIES,0.115565446,0.62547016,0.252476179,null,null,4804,1.44223511,1.044923134,0.545521495,2.183704323,0.538924978
1078,1800,12/31/2020,2020,ABBOTT LABORATORIES,0.129883264,0.610032362,0.263291724,0.061958979,1.693067854,8534,1.716721256,1.295792391,0.757117662,2.212908736,0.54508739
1084,1961,12/31/2019,2019,WORLDS INC,null,null,null,null,null,-1.648,0.488039764,0.488039764,0.488039764,-1.227681661,1.814543405
1084,1961,12/31/2020,2020,WORLDS INC,null,null,null,-2.26734104,0,-2.67,0.205829863,0.205829863,0.141284949,-0.25917603,4.858381503
1104,2098,12/31/2019,2019,ACME UNITED CORP,0.038706417,0.389127947,0.083267232,null,null,56.563,4.410902732,2.043357655,0.506542845,1.98813392,0.497015774
1104,2098,12/31/2020,2020,ACME UNITED CORP,0.049383243,0.386249032,0.092461723,0.062363803,1.959765788,63.484,4.142616702,1.632641948,0.287510519,2.070715607,0.517075162
1117,2186,12/31/2019,2019,BK TECHNOLOGIES CORP,-0.065735661,0.420698254,-0.078952618,null,null,14.51,2.547568259,1.106335324,0.683553754,1.630005156,0.386505008
1117,2186,12/31/2020,2020,BK TECHNOLOGIES CORP,0.005618614,0.440154965,0.059199348,0.006615097,1.793466336,15.145,2.599936615,1.602577646,0.919501373,1.664446812,0.399199787
1161,2488,12/31/2019,2019,ADVANCED MICRO DEVICES,0.05066112,0.447184668,0.107710593,null,null,2238,1.948707079,1.532428995,0.735905045,2.13229572,0.531021898
1161,2488,12/31/2020,2020,ADVANCED MICRO DEVICES,0.255044556,0.467479258,0.163884052,0.277839768,1.589288621,3726,2.541580472,1.962763757,1.103847745,1.535377763,0.348694488
1209,2969,09/30/2019,2019,AIR PRODUCTS & CHEMICALS INC,0.197333752,0.451423382,0.359158641,null,null,2797.4,2.536273271,2.323027075,1.54571915,1.713722226,0.398805879
1209,2969,09/30/2020,2020,AIR PRODUCTS & CHEMICALS INC,0.213034789,0.472341723,0.375258291,0.074962751,1.019735403,6268.2,3.593702156,3.426201018,2.839698763,2.083519595,0.505608201
1234,701288,12/31/2019,2019,ATRION CORP,0.237066797,0.525847059,0.331355681,null,null,121.064,11.73833599,8.004701082,6.329519248,1.101572287,0.092206647
1234,701288,12/31/2020,2020,ATRION CORP,0.217594569,0.527234045,0.320615756,0.120330473,1.314034135,98.683,8.236946319,4.548327955,3.342329129,1.109997421,0
1272,745543,06/30/2019,2019,PETRO USA INC,null,null,null,null,null,-0.074,0,0,0,0,null
1272,745543,06/30/2020,2020,PETRO USA INC,null,null,null,null,null,-0.091,0,0,0,0,null
1300,773840,12/31/2019,2019,HONEYWELL INTERNATIONAL INC,0.167343158,0.374131684,0.231142227,null,null,6205,1.342855564,1.098574428,0.668140126,3.172866876,0.681095452
1300,773840,12/31/2020,2020,HONEYWELL INTERNATIONAL INC,0.1464289,0.360878757,0.222845237,0.073994364,1.158367347,8978,1.467677241,1.233838621,0.868521123,3.680323665,0.724444926
1327,4127,09/30/2019,2019,SKYWORKS SOLUTIONS INC,0.252783701,0.599324805,0.418650794,null,null,1860.6,5.97486631,4.344652406,3.100534759,1.174004803,0.148214728
1327,4127,09/30/2020,2020,SKYWORKS SOLUTIONS INC,0.24281074,0.591083828,0.384122538,0.159555094,1.447920262,1869.2,5.168599465,3.371097235,2.493309545,1.22633399,0.184561458
1380,4447,12/31/2019,2019,HESS CORP,-0.062817552,0.521785989,0.427405697,null,null,646,1.257370518,1.153386454,0.687250996,2.494502978,0.554402718
1380,4447,12/31/2020,2020,HESS CORP,-0.662738376,0.065138204,-0.041568459,-0.164337708,1.514767932,1458,1.898336414,1.665434381,1.135551448,3.507454342,0.663407895
1393,4457,03/31/2020,2019,AMERCO,0.111098936,0.295670276,0.295670276,null,null,0,null,null,null,3.183822665,0.685912155
1393,4457,03/31/2021,2020,AMERCO,0.134490977,0.346623338,0.346623338,0.041692085,null,0,null,null,null,3.019777892,0.668849818
1410,771497,10/31/2019,2019,ABM INDUSTRIES INC,0.019604222,0.120010464,0.05128797,null,null,373,1.413342199,1.413342199,0.210106383,2.394682231,0.582408059
1410,771497,10/31/2020,2020,ABM INDUSTRIES INC,5.01035E-05,0.146736589,0.064583473,7.94302E-05,4.152576462,455,1.461039619,1.461039619,0.542608167,2.517429847,0.602769467
1559,744825,12/31/2019,2019,AMERICAN SHARED HSPTL SERV,0.031982529,0.692113565,0.495074011,null,null,2.528,1.307767227,1.307767227,0.44789384,2.06595475,0.408530577
1559,744825,12/31/2020,2020,AMERICAN SHARED HSPTL SERV,-0.395694343,0.630991759,0.381734597,-0.161684191,1.643963134,-1.53,0.87641357,0.87641357,0.506865913,2.264864584,0.458227384
1562,713425,04/30/2020,2019,AMERICAN SOFTWARE  -CL A,0.058389483,0.614691771,0.122555557,null,null,78.208,2.647941338,2.647941338,2.121012263,1.434350455,0.302820314
1562,713425,04/30/2021,2020,AMERICAN SOFTWARE  -CL A,0.072606994,0.595809996,0.089499856,0.045660064,0.815441031,85.959,2.696648508,2.696648508,2.170851097,1.447467543,0.309138222
1585,5981,12/31/2019,2019,AMERICAN VANGUARD CORP,0.02905042,0.41863063,0.08595729,null,null,197.561,2.425013344,1.247031838,0.122895599,1.947076326,0.486409451
1585,5981,12/31/2020,2020,AMERICAN VANGUARD CORP,0.0332284,0.419643169,0.083720656,0.022405052,1.382783932,160.401,1.936243609,0.980253788,0.154222409,1.885847268,0.469734364
1598,1037868,12/31/2019,2019,AMETEK INC,0.166964715,0.391912312,0.27360791,null,null,599.913,1.42073825,0.982709358,0.40916066,1.924459856,0.480373676
1598,1037868,12/31/2020,2020,AMETEK INC,0.192165953,0.405838157,0.292308045,0.084232723,1.799834686,1446.555,2.34448818,1.824771474,1.205351724,1.740944803,0.42559925
1602,318154,12/31/2019,2019,AMGEN INC,0.335673316,0.900650629,0.503210342,null,null,5605,1.436696533,1.15746007,0.795013635,6.172542128,0.837992195
1602,318154,12/31/2020,2020,AMGEN INC,0.285714286,0.893053807,0.494650724,0.115396835,1.202421491,9491,1.814468377,1.480391316,1.023513258,6.690190243,0.850527419
1613,6176,12/31/2019,2019,AMPCO-PITTSBURGH CORP,-0.052741365,0.180312337,0.054837348,null,null,69.18,1.556861356,0.894479683,0.107379741,10.3591002,0.890208465
1613,6176,12/31/2020,2020,AMPCO-PITTSBURGH CORP,0.024258547,0.213858722,0.075241064,0.017206093,1.912007077,66.5,1.631337106,0.935983367,0.210980519,6.049945144,0.816499283
1618,6207,04/30/2020,2019,AMREP CORP,-0.314273545,0.18932013,0.029441516,null,null,0,null,null,null,1.142124603,0.124438789
1618,6207,04/30/2021,2020,AMREP CORP,0.184481769,0.374878335,0.23961167,0.075919726,null,0,null,null,null,1.095366131,0.087063246
1632,6281,10/31/2019,2019,ANALOG DEVICES,0.227507296,0.73375268,0.436903622,null,null,476.494,1.315845083,0.911580823,0.490579545,1.826996116,0.452653462
1632,6281,10/31/2020,2020,ANALOG DEVICES,0.217874139,0.726736624,0.432193075,0.056862619,2.225476707,1152.702,1.844478991,1.398862699,0.858537743,1.789356677,0.441139929
1650,6494,12/31/2019,2019,ANDREA ELECTRONICS CORP,-0.289709763,0.756728232,-0.211081794,null,null,0.557,2.358536585,1.846341463,0.92195122,-1.326131687,1.747090768
1650,6494,12/31/2020,2020,ANDREA ELECTRONICS CORP,-0.608118081,0.808856089,-0.518819188,-0.680991736,1.75974026,0.321,1.714922049,1.461024499,1.053452116,-0.673719376,2.476859504
1686,6845,02/29/2020,2019,APOGEE ENTERPRISES INC,0.044624665,0.255909629,0.089335819,null,null,105.053,1.379448596,0.722026172,0.146042903,2.184673109,0.542265616
1686,6845,02/28/2021,2020,APOGEE ENTERPRISES INC,0.012541701,0.263956665,0.096349939,0.015206399,3.50973839,133.122,1.611908877,0.93396981,0.332964073,2.060089905,0.514584292
1690,320193,09/30/2019,2019,APPLE INC,0.212380945,0.426403099,0.29394559,null,null,57101,1.540125617,1.501286441,1.068020583,3.741004332,0.732692103
1690,320193,09/30/2020,2020,APPLE INC,0.209136113,0.422607144,0.28174781,0.177255718,1.910161224,38321,1.363604448,1.325072112,0.96977949,4.95703944,0.798266685
1704,6951,10/31/2019,2019,APPLIED MATERIALS INC,0.185240964,0.462007119,0.255681818,null,null,5759,2.295030358,1.513829548,0.919946031,2.316045776,0.568229605
1704,6951,10/31/2020,2020,APPLIED MATERIALS INC,0.210382514,0.469247762,0.282002093,0.161902206,1.286708056,8910,2.998205876,2.122673245,1.42498318,2.113159387,0.52677493
1706,6955,08/31/2019,2019,ENERPAC TOOL GROUP CORP,-0.380514633,0.466987803,0.147433097,null,null,429.924,2.431167007,2.174220459,1.742697261,3.732909665,0.732112457
1706,6955,08/31/2020,2020,ENERPAC TOOL GROUP CORP,0.001465663,0.467135084,0.101605134,0.000877114,1.446044346,235.61,3.232804534,2.577291939,1.721404067,2.294639029,0.564201608
1712,7039,12/31/2019,2019,TRECORA RESOURCES,-0.057823825,0.208048378,0.113879031,null,null,55.455,2.936616029,2.395983936,1.430382399,1.763435269,0.431967504
1712,7039,12/31/2020,2020,TRECORA RESOURCES,0.149430081,0.210798271,0.091484283,0.098395685,1.970102742,76.312,3.579502434,3.061621147,2.112155219,1.552205097,0.354843088
