,gvkey,cik,datadate,fyear,Company name,Net profit margin,Gross profit margin,Operating profit margin,2020 ROA(return on assets),2020 Total assets turnover,working capital,Current ratio,Quick ratio,Cash ratio,Financial leverage,Debt to total assets ratio
1,1004,1750,05/31/2021,2020,AAR CORP,0.021678576,0.173670825,0.061644665,0.023251282999999998,1.7624332980000001,600.2,2.782066508,1.027315914,0.31888361,1.580151888,0.367149445
3,1050,3197,12/31/2020,2020,CECO ENVIRONMENTAL CORP,0.025983272999999998,0.339988165,0.09655993,0.019581984,1.722271575,74.12899999999999,1.677868613,1.103222503,0.526701781,2.0690720330000003,0.5144187889999999
5,1078,1800,12/31/2020,2020,ABBOTT LABORATORIES,0.129883264,0.610032362,0.263291724,0.061958979000000004,1.6930678540000001,8534.0,1.716721256,1.295792391,0.7571176620000001,2.212908736,0.54508739
7,1084,1961,12/31/2020,2020,WORLDS INC,,,,-2.26734104,0.0,-2.67,0.205829863,0.205829863,0.141284949,-0.25917603,4.858381503
9,1104,2098,12/31/2020,2020,ACME UNITED CORP,0.049383243,0.38624903200000005,0.09246172300000001,0.062363802999999995,1.9597657880000001,63.483999999999995,4.142616702,1.632641948,0.28751051899999996,2.070715607,0.517075162
11,1117,2186,12/31/2020,2020,BK TECHNOLOGIES CORP,0.005618614,0.440154965,0.059199348,0.0066150969999999995,1.793466336,15.145,2.599936615,1.6025776459999999,0.919501373,1.6644468119999998,0.39919978700000003
13,1161,2488,12/31/2020,2020,ADVANCED MICRO DEVICES,0.25504455600000003,0.46747925799999995,0.163884052,0.277839768,1.589288621,3726.0,2.5415804719999997,1.9627637569999998,1.103847745,1.535377763,0.34869448799999997
15,1209,2969,09/30/2020,2020,AIR PRODUCTS & CHEMICALS INC,0.21303478899999997,0.472341723,0.375258291,0.074962751,1.0197354029999999,6268.2,3.5937021560000004,3.426201018,2.839698763,2.083519595,0.505608201
17,1234,701288,12/31/2020,2020,ATRION CORP,0.217594569,0.527234045,0.32061575600000003,0.12033047300000001,1.314034135,98.68299999999999,8.236946319,4.548327955,3.342329129,1.1099974209999999,0.0
19,1272,745543,06/30/2020,2020,PETRO USA INC,,,,,,-0.091,0.0,0.0,0.0,0.0,
21,1300,773840,12/31/2020,2020,HONEYWELL INTERNATIONAL INC,0.1464289,0.36087875700000005,0.222845237,0.073994364,1.158367347,8978.0,1.4676772409999999,1.2338386209999999,0.868521123,3.680323665,0.724444926
23,1327,4127,09/30/2020,2020,SKYWORKS SOLUTIONS INC,0.24281074,0.5910838279999999,0.38412253799999996,0.159555094,1.4479202619999998,1869.2,5.168599465,3.371097235,2.493309545,1.22633399,0.184561458
25,1380,4447,12/31/2020,2020,HESS CORP,-0.662738376,0.065138204,-0.041568459,-0.164337708,1.5147679319999998,1458.0,1.898336414,1.6654343809999999,1.135551448,3.507454342,0.663407895
27,1393,4457,03/31/2021,2020,AMERCO,0.13449097699999998,0.34662333799999995,0.34662333799999995,0.041692085,,0.0,,,,3.019777892,0.668849818
29,1410,771497,10/31/2020,2020,ABM INDUSTRIES INC,5.0103500000000006e-05,0.146736589,0.064583473,7.94302e-05,4.152576462,455.0,1.4610396190000001,1.4610396190000001,0.542608167,2.517429847,0.602769467
31,1559,744825,12/31/2020,2020,AMERICAN SHARED HSPTL SERV,-0.39569434299999995,0.6309917589999999,0.381734597,-0.161684191,1.643963134,-1.53,0.87641357,0.87641357,0.506865913,2.264864584,0.45822738399999996
33,1562,713425,04/30/2021,2020,AMERICAN SOFTWARE  -CL A,0.07260699400000001,0.5958099960000001,0.089499856,0.04566006400000001,0.815441031,85.959,2.696648508,2.696648508,2.170851097,1.4474675430000001,0.309138222
35,1585,5981,12/31/2020,2020,AMERICAN VANGUARD CORP,0.0332284,0.419643169,0.08372065599999999,0.022405052,1.382783932,160.401,1.9362436090000001,0.980253788,0.154222409,1.885847268,0.46973436399999996
37,1598,1037868,12/31/2020,2020,AMETEK INC,0.192165953,0.40583815700000003,0.292308045,0.08423272300000001,1.7998346859999999,1446.555,2.34448818,1.824771474,1.205351724,1.740944803,0.42559925
39,1602,318154,12/31/2020,2020,AMGEN INC,0.28571428600000004,0.893053807,0.494650724,0.115396835,1.202421491,9491.0,1.8144683769999999,1.480391316,1.023513258,6.690190242999999,0.8505274190000001
41,1613,6176,12/31/2020,2020,AMPCO-PITTSBURGH CORP,0.024258547000000002,0.213858722,0.07524106400000001,0.017206093000000002,1.912007077,66.5,1.631337106,0.9359833670000001,0.21098051899999998,6.049945144,0.816499283
43,1618,6207,04/30/2021,2020,AMREP CORP,0.184481769,0.374878335,0.23961167,0.07591972599999999,,0.0,,,,1.095366131,0.087063246
45,1632,6281,10/31/2020,2020,ANALOG DEVICES,0.217874139,0.726736624,0.432193075,0.056862619,2.225476707,1152.702,1.844478991,1.3988626990000002,0.858537743,1.7893566769999998,0.441139929
47,1650,6494,12/31/2020,2020,ANDREA ELECTRONICS CORP,-0.608118081,0.8088560890000001,-0.5188191879999999,-0.680991736,1.75974026,0.321,1.7149220490000001,1.461024499,1.0534521159999999,-0.673719376,2.476859504
49,1686,6845,02/28/2021,2020,APOGEE ENTERPRISES INC,0.012541701,0.263956665,0.09634993900000001,0.015206398999999999,3.50973839,133.122,1.6119088769999999,0.93396981,0.332964073,2.060089905,0.514584292
51,1690,320193,09/30/2020,2020,APPLE INC,0.209136113,0.422607144,0.28174781,0.177255718,1.910161224,38321.0,1.363604448,1.325072112,0.96977949,4.95703944,0.798266685
53,1704,6951,10/31/2020,2020,APPLIED MATERIALS INC,0.210382514,0.469247762,0.282002093,0.161902206,1.286708056,8910.0,2.998205876,2.122673245,1.42498318,2.113159387,0.52677493
55,1706,6955,08/31/2020,2020,ENERPAC TOOL GROUP CORP,0.0014656629999999999,0.467135084,0.101605134,0.0008771139999999999,1.4460443459999999,235.61,3.2328045339999996,2.577291939,1.721404067,2.2946390290000003,0.564201608
57,1712,7039,12/31/2020,2020,TRECORA RESOURCES,0.149430081,0.210798271,0.09148428300000001,0.098395685,1.970102742,76.312,3.5795024339999997,3.061621147,2.112155219,1.5522050969999999,0.354843088
59,1722,7084,12/31/2020,2020,ARCHER-DANIELS-MIDLAND CO,0.027534767999999998,0.08294615799999999,0.041317691000000004,0.035640298,2.358535513,9104.0,1.500714993,0.856506435,0.587944121,2.48595,0.595808443
61,1783,7623,11/30/2020,2020,ARTS WAY MFG INC,-0.09384622199999999,0.143603017,-0.128296667,-0.111843855,2.175419862,4.136,1.6708840230000002,0.40275750200000004,0.010381184,1.897950944,0.47311599200000004
63,1820,8146,01/31/2021,2020,ASTRONOVA INC,0.011065817,0.40801323799999994,0.07253109,0.011119482,1.910920439,39.753,2.8958889739999996,1.462275849,0.631724533,1.546175167,0.35324274899999997
65,1823,8063,12/31/2020,2020,ASTRONICS CORP,-0.230370065,0.253176067,0.033257924,-0.186820386,1.585713069,223.21099999999998,3.381272937,1.7057267219999999,0.712981139,2.292202196,0.563738312
67,1864,744187,01/31/2021,2020,REX AMERICAN RESOURCES CORP,0.0080489,0.093247614,0.045879532,0.006260626,1.440950725,228.013,8.418193057,7.185802128,6.348602661,1.2457541,0.087957525
69,1878,769397,01/31/2021,2020,AUTODESK INC,0.31875263800000003,0.933357957,0.20364605300000002,0.165966098,1.404267931,-555.5,0.829323747,0.829323747,0.631732571,7.539927499,0.86737273
71,1891,8670,06/30/2020,2020,AUTOMATIC DATA PROCESSING,0.169056464,0.457518266,0.258619035,0.062976344,0.462227657,1437.5,1.047715308,1.047715308,0.966680608,6.808786204,0.8531309440000001
73,1913,8818,12/31/2020,2020,AVERY DENNISON CORP,0.079738937,0.305013268,0.152893925,0.091372311,2.885315785,490.2,1.254517134,0.8821391479999999,0.24080996899999998,4.097178261,0.755929585
75,1926,8947,02/28/2021,2020,AZZ INC,0.047220404,0.268761987,0.150451117,0.03975545,2.764214543,189.642,2.66571805,1.849626702,0.214290733,1.5986760619999998,0.374482408
77,1968,9092,12/31/2020,2020,BADGER METER INC,0.11595275699999999,0.449781926,0.20752025600000001,0.10534822199999999,1.926837551,155.65200000000002,3.387337229,2.135999018,1.1898342,1.296521332,0.0
79,1979,9326,12/31/2020,2020,BALCHEM CORP  -CL B,0.12026394,0.355033227,0.23475933899999998,0.072585245,2.636476724,172.46,2.826365061,2.078493667,1.038399627,1.407626839,0.28958444699999997
81,1988,9389,12/31/2020,2020,BALL CORP,0.049656226,0.208641032,0.164077752,0.032051282,2.52,231.0,1.0519801979999999,0.747524752,0.356435644,5.5731297710000005,0.817170721
83,2049,9984,12/31/2020,2020,BARNES GROUP INC,0.056363845,0.436510965,0.206022638,0.023680735,1.75044719,346.966,2.17464681,1.3688752419999999,0.40581084,1.935539537,0.483348193
85,2080,10329,11/30/2020,2020,BASSETT FURNITURE INDS,-0.027006995,0.580122997,0.000717871,-0.025887532,2.4014675309999998,42.306999999999995,1.357410176,0.8937324179999999,0.616730449,2.547294817,0.6074266739999999
87,2086,10456,12/31/2020,2020,BAXTER INTERNATIONAL INC,0.094405894,0.475713184,0.229503984,0.055047705,1.3878254669999999,5078.0,2.523552355,1.948694869,1.325532553,2.30394752,0.5641140920000001
89,2111,10795,09/30/2020,2020,BECTON DICKINSON & CO,0.051060349000000005,0.576911842,0.260209149,0.016181589,1.9084624819999998,3133.0,1.5368403019999999,1.0668265940000001,0.655928718,2.272945335,0.560005184
91,2124,729580,12/31/2020,2020,BEL FUSE INC,0.027470581,0.281797278,0.062582256,0.02819114,1.6621856,192.68,3.2011515260000003,2.0572450190000002,1.080424054,2.442779563,0.590630274
93,2220,12208,12/31/2020,2020,BIO-RAD LABORATORIES INC,1.514236645,0.613372803,0.21380786699999998,0.293407776,1.174695245,1508.299,3.3883024880000003,2.403001571,1.7366515919999999,1.31302599,0.23840045199999998
95,2240,720762,07/31/2020,2020,NON INVASIVE MONITOR,,,,-0.791262136,0.0,-0.08199999999999999,0.7152777779999999,0.7152777779999999,0.7152777779999999,-2.512195122,1.3980582519999998
97,2269,12659,04/30/2021,2020,BLOCK H & R INC,0.170999772,0.506371875,0.271377425,0.159783132,2.0085537419999997,536.645,1.4614003,1.4614003,1.004645428,10.36786502,0.903548127
99,2285,12927,12/31/2020,2020,BOEING CO,-0.202417485,-0.004756547,-0.129091653,-0.078042015,0.482201871,34362.0,1.3936984419999998,0.457458753,0.34230064200000004,-8.306180389,1.118808172
101,2312,315213,12/31/2020,2020,ROBERT HALF INTL INC,0.059948325999999996,0.40612487799999997,0.080025641,0.119759571,2.7725048269999997,796.112,1.760646114,1.760646114,1.078298265,2.12183468,0.528709749
103,2316,13239,12/31/2020,2020,HEXION INC,-0.091633466,0.186055777,0.084462151,-0.057471264,2.633788038,254.0,1.363376252,0.984263233,0.503576538,4.8626974480000005,0.7943528240000001
105,2337,1393066,12/31/2020,2020,RESOLUTE FOREST PRODUCTS INC,0.003571429,0.159285714,0.110714286,0.002680965,3.111111111,520.0,2.368421053,1.1526315790000001,0.42105263200000004,3.450508788,0.7099195709999999
107,2342,13573,06/30/2020,2020,BOWL AMERICA INC  -CL A,0.022664642000000002,0.132388505,0.073224228,0.014084507,2.023787844,7.188,5.498122652999999,5.193992491,4.714643304,1.270728783,0.21305001199999998
109,2352,746598,07/31/2020,2020,BRADY CORP,0.103920377,0.510498946,0.162102249,0.09835653800000001,2.122491402,323.56,2.7406180069999997,2.0108129630000002,1.2244200809999999,1.323720385,0.244553448
111,2390,14177,10/31/2020,2020,BRIDGFORD FOODS CORP,0.036990453,0.328494216,0.053472748,0.047159058,2.8795636360000003,42.547,2.623745373,1.505705454,0.233522879,2.179532886,0.541186092
113,2403,14272,12/31/2020,2020,BRISTOL-MYERS SQUIBB CO,-0.212027847,0.819394139,0.391834047,-0.07608814900000001,1.408253842,11112.0,1.5823899369999999,1.4736897269999998,1.028144654,3.1325947860000003,0.68026941
115,2435,14693,04/30/2021,2020,BROWN FORMAN CORP,0.260907252,0.627275354,0.323894828,0.138454462,0.883584376,2999.0,4.266884532,2.359477124,1.539215686,2.455572289,0.5927629560000001
117,2436,14707,01/31/2021,2020,CALERES INC,-0.20741591,0.41802443899999997,-0.002126524,-0.235191345,2.705327159,-122.95299999999999,0.8642167,0.325342984,0.147631884,9.323735187,0.890814922
119,2444,14930,12/31/2020,2020,BRUNSWICK CORP,0.08572743,0.313858539,0.16009200699999998,0.098843685,2.602514217,591.3,1.5479058559999999,0.8883432170000001,0.575518903,2.497086093,0.599533231
121,2448,1104657,12/31/2020,2020,MATERION CORP,0.013144897,0.190034805,0.064429716,0.014616301000000002,2.5350787390000002,337.115,3.656875571,1.6804404019999999,0.368635919,1.613501518,0.38022989799999996
123,2504,746838,12/31/2020,2020,UNISYS CORP,0.37066113700000003,0.295956155,0.12067348,0.277225895,1.344820717,570.9,1.610522939,1.5961929209999999,1.056357609,-7.58940583,1.115255364
125,2519,15847,04/30/2021,2020,BUTLER NATIONAL CORP,0.023308392999999997,0.389931685,0.153578399,0.014059908999999999,1.7836834169999998,16.901,1.9620880059999999,1.474355325,1.338760175,2.8822997089999998,0.594009085
127,2536,733269,03/31/2021,2020,LIVERAMP HOLDINGS INC,-0.20375327899999998,0.737570707,-0.194636432,-0.070066389,0.536536214,660.466,4.996792719,4.996792719,3.847623889,1.1921358990000002,0.16116946
129,2573,356037,09/30/2020,2020,CSP INC,-0.023400709,0.285129384,-0.015729937,-0.026954982000000002,1.4858015340000001,28.612,3.204823919,2.797564923,1.6027587269999999,1.81638112,0.449454749
131,2577,26058,12/31/2020,2020,CTS CORP,0.081793872,0.39081888200000003,0.173626275,0.055404609,1.818223135,128.299,2.222687074,1.78554683,1.0137994129999999,1.47763889,0.323244666
133,2578,320121,12/31/2020,2020,TELOS CORP/MD,0.009376546,0.376690363,0.06325138799999999,0.009177606,1.248435267,105.16799999999999,3.700354337,3.615339188,2.8215991369999998,1.446193668,0.308529679
135,2581,766792,12/31/2020,2020,CVD EQUIPMENT CORP,-0.359042553,0.25242316800000003,-0.167612293,-0.148402384,1.435114504,8.086,3.183045356,2.746220302,2.269978402,1.696758684,0.410641001
137,2593,16040,09/30/2020,2020,CABOT CORP,-0.091048202,0.25401683199999997,0.144605968,-0.085580726,2.672801636,449.0,1.8487712669999998,1.170132325,0.37996219299999995,4.024602026,0.7072995329999999
139,2596,16058,06/30/2020,2020,CACI INTL INC  -CL A,0.056202385,0.349472609,0.09954402400000001,0.058002999000000006,5.26762662,316.72700000000003,1.411783519,1.327058515,0.233361373,2.082716093,0.519833388
141,2615,730255,02/28/2021,2020,CALAMP CORP,-0.18247366199999998,0.45700564200000005,0.071934333,-0.12980256099999998,1.440057306,107.04299999999999,1.9981164619999998,1.7774721430000002,1.187001725,4.562286375,0.780811655
143,2663,16732,07/31/2020,2020,CAMPBELL SOUP CO,0.187320216,0.377862156,0.192497986,0.131587456,3.6440251569999997,-690.0,0.7756097559999999,0.492357724,0.305365854,4.8271556769999995,0.792353702
145,2710,16918,02/28/2021,2020,CONSTELLATION BRANDS,0.23192376,0.565636281,0.378634691,0.073713881,2.829660043,1775.4,2.398944134,1.3816090140000001,0.523914585,1.993161212,0.48610209299999996
147,2771,790051,12/31/2020,2020,CARLISLE COS INC,0.075402808,0.334542542,0.17419674,0.05456498,1.9215136019999999,1563.1,3.4189105539999995,2.639740019,1.560817084,2.31169957,0.567417837
149,2787,17843,06/30/2020,2020,CARPENTER TECHNOLOGY CORP,0.000687726,0.2212645,0.129109165,0.000464799,1.722419648,814.2,2.8009289980000003,1.198849812,0.552311436,2.232275022,0.552026525
151,2817,18230,12/31/2020,2020,CATERPILLAR INC,0.071811823,0.344543451,0.19945865699999998,0.038276901,1.057875532,13747.0,1.534549131,1.091184819,0.43869813700000004,5.108864392,0.803661713
153,2820,278166,03/31/2021,2020,CAVCO INDUSTRIES INC,0.06917190599999999,0.21984637899999998,0.08875855,0.08052463,1.6999887999999999,414.695,2.7490004389999996,2.1955133609999997,1.755546089,1.392301504,0.28176476300000003
155,2829,740664,10/31/2020,2020,R F INDUSTRIES LTD,-0.001881795,0.292259084,0.015193755,-0.001984224,1.3945893409999999,24.201,4.631602641000001,3.343187275,2.492496999,1.273141218,0.214541179
157,2940,19411,12/31/2020,2020,MAGELLAN HEALTH INC,0.083524284,0.026387806,0.026387806,0.113795089,2.12276821,1418.818,2.923614962,2.8648632889999996,1.851998227,1.796740807,0.43359639
159,2942,19446,07/31/2020,2020,CANTEL MEDICAL CORP,0.013491488999999999,0.517678299,0.161918531,0.006616616,1.5713070619999998,467.13,3.6024535369999997,2.6667223780000002,1.65081116,2.839579002,0.647835119
161,2960,19584,12/31/2020,2020,CHEMED CORP,0.153620221,0.33727242399999996,0.178481936,0.222638198,6.313187797,30.295,1.101284486,1.077563957,0.65345962,1.592222592,0.37194711
163,2990,749647,12/31/2020,2020,CELSION CORP,-42.968,-36.26,-36.26,-0.5724944710000001,0.026560425,12.072000000000001,2.787649933,2.787649933,2.787649933,2.0163881580000003,0.5040637410000001
165,2991,93410,12/31/2020,2020,CHEVRON CORP,-0.05867409,0.21229795399999998,0.152702946,-0.02311606,3.6226321039999996,3895.0,1.175584907,0.919713294,0.402605599,1.820894842,0.446490679
167,2999,19871,12/31/2020,2020,CHICAGO RIVET & MACHINE CO,0.001812185,0.226958066,0.045775795999999994,0.001600615,1.525460275,16.566,11.89151874,8.503616042,5.109138725,1.088204557,0.081055125
169,3026,313927,12/31/2020,2020,CHURCH & DWIGHT INC,0.160525348,0.486192246,0.22443727300000002,0.10599501,4.401114707,-276.2,0.801094628,0.44433242100000003,0.157136684,2.45480731,0.592636051
171,3028,20212,12/31/2020,2020,CHURCHILL DOWNS INC,-0.077703985,0.271726755,0.162808349,-0.030486897000000002,4.483198638999999,-189.1,0.554219708,0.554219708,0.351720886,7.317897031,0.8633487190000001
173,3062,723254,05/31/2021,2020,CINTAS CORP,0.156115082,0.49691091200000004,0.225860203,0.134878217,2.5028373630000003,909.2239999999999,1.4701055019999998,0.802140547,0.324399393,2.233504535,0.552273128
175,3121,21076,06/30/2020,2020,CLOROX CO/DE,0.13971135199999998,0.48058324700000005,0.214402619,0.151134718,3.327227723,602.0,1.4245416080000002,1.104372355,0.647390691,6.842511012999999,0.853854821
