,Top 10 Effective Measures,Top 10 Parameters,End 10 Effective Measures,End 10 Parameters
0,increase evaluate sensitivity,0.10903225094079971,obtain supplies,-0.12211581319570541
1,precautionary measure,0.09260077029466629,obtain materials,-0.1029929369688034
2,closure airframe maintenance,0.07996375858783722,reduce production,-0.08378419280052185
3,obtain clinical supplies,0.07902715355157852,provide aftermarket service,-0.08125453442335129
4,additional capital,0.07558424025774002,reduce staffing,-0.075765460729599
5,advertising cancellations,0.06884005665779114,temporarily suspend,-0.0750637799501419
6,sell composites,0.050468359142541885,deferred arrangements,-0.06357928365468979
7,seek alternative suppliers,0.04649334400892258,stoppage,-0.06324023753404617
8,digital transformation,0.044866468757390976,relief and stimulus,-0.06168888509273529
9,exit our joint venture investment,0.04334953799843788,maintained cash,-0.05584578216075897
