,Top 10 Effective Measures,Top 10 Parameters,End 10 Effective Measures,End 10 Parameters
0,assessing impact,0.1655038297176361,obtain supplies,-0.12342207878828049
1,financial flexibility,0.09020582586526871,temporarily suspend,-0.10432058572769165
2,digital transformation,0.07992043346166611,obtain materials,-0.10196632146835327
3,seek alternative suppliers,0.07431936264038086,precautionary measure,-0.09602312743663788
4,impose travel restrictions,0.07342718541622162,prolonged work stoppage,-0.08793424069881439
5,demand variability customers,0.06732859462499619,advertising cancellations,-0.06450448930263519
6,closure airframe maintenance,0.04954083263874054,remote working,-0.062043268233537674
7,increase evaluate sensitivity,0.044654760509729385,stoppage,-0.060701627284288406
8,retain key employees,0.04441697895526886,exit our joint venture investment,-0.054246265441179276
9,provide aftermarket service,0.036080703139305115,capture new customers,-0.054165881127119064
