,Top 10 Effective Measures,Top 10 Parameters,End 10 Effective Measures,End 10 Parameters
0,stoppage,0.10187683254480362,sell composites,-0.11273228377103806
1,preserve flexibility liquidity,0.07918213307857513,reduce staffing,-0.08463442325592041
2,exited underperforming,0.06497252732515335,obtain clinical supplies,-0.06693921983242035
3,seek alternative suppliers,0.05218310281634331,support services prolonged,-0.062114499509334564
4,precautionary measure,0.05046164616942406,maintained cash,-0.04773591831326485
5,provide aftermarket service,0.04983002692461014,focus core service,-0.04253038763999939
6,exit our joint venture investment,0.043967537581920624,additional capital,-0.040419138967990875
7,digital transformation,0.04373469576239586,reduce inventory levels,-0.036584001034498215
8,advertising cancellations,0.042502693831920624,retain key employees,-0.03367619216442108
9,increase evaluate sensitivity,0.0417959988117218,reduce costs,-0.03165527805685997
